Duration,Country,Year,NumTrips
From 1 to 3 nights,Bulgaria,2019,2551899
From 1 to 3 nights,Bulgaria,2020,1208155
From 1 to 3 nights,Bulgaria,2020,37953
From 1 to 3 nights,Bulgaria,2020,59736
From 1 to 3 nights,Bulgaria,2020,1267891
From 1 to 3 nights,Bulgaria,2021,1677700
From 1 to 3 nights,Bulgaria,2021,58222
From 1 to 3 nights,Bulgaria,2021,33759
From 1 to 3 nights,Bulgaria,2021,1735923
From 1 to 3 nights,Bulgaria,2022,1967127
From 1 to 3 nights,Bulgaria,2022,102076
From 1 to 3 nights,Bulgaria,2022,198708
From 1 to 3 nights,Bulgaria,2022,96632
From 1 to 3 nights,Bulgaria,2022,2165835
From 1 to 3 nights,Bulgaria,2023,2030006
From 1 to 3 nights,Bulgaria,2023,193702
From 1 to 3 nights,Bulgaria,2023,323388
From 1 to 3 nights,Bulgaria,2023,129686
From 1 to 3 nights,Bulgaria,2023,2353394
From 1 to 3 nights,Croatia,2012,3028091
From 1 to 3 nights,Croatia,2012,1054293
From 1 to 3 nights,Croatia,2012,4082385
From 1 to 3 nights,Croatia,2013,3169156
From 1 to 3 nights,Croatia,2013,1021039
From 1 to 3 nights,Croatia,2013,4190195
From 1 to 3 nights,Croatia,2014,2862996
From 1 to 3 nights,Croatia,2014,1027094
From 1 to 3 nights,Croatia,2014,3890091
From 1 to 3 nights,Croatia,2015,1858851
From 1 to 3 nights,Croatia,2015,919897
From 1 to 3 nights,Croatia,2015,2778748
From 1 to 3 nights,Croatia,2016,1318717
From 1 to 3 nights,Croatia,2016,640416
From 1 to 3 nights,Croatia,2016,1959133
From 1 to 3 nights,Croatia,2017,1232553
From 1 to 3 nights,Croatia,2017,759033
From 1 to 3 nights,Croatia,2017,1991587
From 1 to 3 nights,Croatia,2018,1381835
From 1 to 3 nights,Croatia,2018,809991
From 1 to 3 nights,Croatia,2018,2191826
From 1 to 3 nights,Croatia,2019,1753025
From 1 to 3 nights,Croatia,2019,995772
From 1 to 3 nights,Croatia,2019,2748797
From 1 to 3 nights,Croatia,2020,1246294
From 1 to 3 nights,Croatia,2020,99031
From 1 to 3 nights,Croatia,2020,211286
From 1 to 3 nights,Croatia,2020,112255
From 1 to 3 nights,Croatia,2020,1457580
From 1 to 3 nights,Croatia,2021,1504046
From 1 to 3 nights,Croatia,2021,112656
From 1 to 3 nights,Croatia,2021,247617
From 1 to 3 nights,Croatia,2021,134961
From 1 to 3 nights,Croatia,2021,1751663
From 1 to 3 nights,Croatia,2022,1446080
From 1 to 3 nights,Croatia,2022,322486
From 1 to 3 nights,Croatia,2022,599797
From 1 to 3 nights,Croatia,2022,277311
From 1 to 3 nights,Croatia,2022,2045876
From 1 to 3 nights,Croatia,2023,1687033
From 1 to 3 nights,Croatia,2023,539127
From 1 to 3 nights,Croatia,2023,931882
From 1 to 3 nights,Croatia,2023,392755
From 1 to 3 nights,Croatia,2023,2618915
From 1 to 3 nights,Cyprus,2012,1074564
From 1 to 3 nights,Cyprus,2012,157928
From 1 to 3 nights,Cyprus,2012,1232492
From 1 to 3 nights,Cyprus,2013,879804
From 1 to 3 nights,Cyprus,2013,171641
From 1 to 3 nights,Cyprus,2013,1051445
From 1 to 3 nights,Cyprus,2014,962785
From 1 to 3 nights,Cyprus,2014,148305
From 1 to 3 nights,Cyprus,2014,1111090
From 1 to 3 nights,Cyprus,2015,1082593
From 1 to 3 nights,Cyprus,2015,156972
From 1 to 3 nights,Cyprus,2015,1239566
From 1 to 3 nights,Cyprus,2016,1114113
From 1 to 3 nights,Cyprus,2016,183436
From 1 to 3 nights,Cyprus,2016,1297550
From 1 to 3 nights,Cyprus,2017,1167110
From 1 to 3 nights,Cyprus,2017,235260
From 1 to 3 nights,Cyprus,2017,1402370
From 1 to 3 nights,Cyprus,2018,1329479
From 1 to 3 nights,Cyprus,2018,255306
From 1 to 3 nights,Cyprus,2018,1584786
From 1 to 3 nights,Cyprus,2019,1365000
From 1 to 3 nights,Cyprus,2019,301674
From 1 to 3 nights,Cyprus,2019,1666675
From 1 to 3 nights,Cyprus,2020,1444892
From 1 to 3 nights,Cyprus,2020,71908
From 1 to 3 nights,Cyprus,2020,88252
From 1 to 3 nights,Cyprus,2020,1533144
From 1 to 3 nights,Cyprus,2021,1586491
From 1 to 3 nights,Cyprus,2021,56478
From 1 to 3 nights,Cyprus,2021,76395
From 1 to 3 nights,Cyprus,2021,1662887
From 1 to 3 nights,Cyprus,2022,1349181
From 1 to 3 nights,Cyprus,2022,216308
From 1 to 3 nights,Cyprus,2022,258192
From 1 to 3 nights,Cyprus,2022,1607373
From 1 to 3 nights,Cyprus,2023,1251908
From 1 to 3 nights,Cyprus,2023,273609
From 1 to 3 nights,Cyprus,2023,343048
From 1 to 3 nights,Cyprus,2023,69439
From 1 to 3 nights,Cyprus,2023,1594957
From 1 to 3 nights,Czechia,2012,18628902
From 1 to 3 nights,Czechia,2012,1050506
From 1 to 3 nights,Czechia,2012,19679409
From 1 to 3 nights,Czechia,2013,17215083
From 1 to 3 nights,Czechia,2013,1111178
From 1 to 3 nights,Czechia,2013,18326261
From 1 to 3 nights,Czechia,2014,18528217
From 1 to 3 nights,Czechia,2014,1180757
From 1 to 3 nights,Czechia,2014,19708974
From 1 to 3 nights,Czechia,2015,16203332
